Latitude	1	2	3	4	5	6	7	8	9	10	11	12
-40	0.290400000000000	0.283378571428571	0.279450000000000	0.278078571428571	0.287100000000000	0.278821428571429	0.315335714285714	0.329514285714286	0.338300000000000	0.336021428571429	0.317785714285714	0.299142857142857
-35	0.281650000000000	0.275728571428571	0.273864285714286	0.273678571428571	0.277085714285714	0.266192857142857	0.299242857142857	0.310700000000000	0.319821428571429	0.319185714285714	0.305885714285714	0.290592857142857
-30	0.273771428571429	0.268664285714286	0.267535714285714	0.268171428571429	0.268964285714286	0.254021428571429	0.282521428571429	0.290950000000000	0.300892857142857	0.302678571428571	0.294171428571429	0.282514285714286
-25	0.268250000000000	0.264057142857143	0.262764285714286	0.262842857142857	0.262600000000000	0.245314285714286	0.270328571428571	0.276007142857143	0.285871428571429	0.289200000000000	0.283921428571429	0.275292857142857
-20	0.265350000000000	0.262200000000000	0.261121428571429	0.259700000000000	0.258035714285714	0.239014285714286	0.261914285714286	0.266400000000000	0.274771428571429	0.278250000000000	0.275214285714286	0.270157142857143
-15	0.262300000000000	0.260628571428571	0.260507142857143	0.259428571428571	0.256328571428571	0.235928571428571	0.257314285714286	0.261378571428571	0.268464285714286	0.270471428571429	0.268614285714286	0.265421428571429
-10	0.258050000000000	0.257714285714286	0.259492857142857	0.259985714285714	0.257478571428571	0.237342857142857	0.258071428571429	0.261835714285714	0.267442857142857	0.267321428571429	0.264250000000000	0.260707142857143
-5	0.253064285714286	0.253950000000000	0.257800000000000	0.260378571428571	0.259550000000000	0.241557142857143	0.263392857142857	0.267007142857143	0.270271428571429	0.266592857142857	0.260628571428571	0.256192857142857
0	0.248692857142857	0.249957142857143	0.255814285714286	0.260771428571429	0.262242857142857	0.246228571428571	0.269185714285714	0.271964285714286	0.272650000000000	0.266164285714286	0.258142857142857	0.252557142857143
5	0.244728571428571	0.245964285714286	0.253678571428571	0.262185714285714	0.267214285714286	0.251914285714286	0.275378571428571	0.277135714285714	0.275757142857143	0.267342857142857	0.257321428571429	0.249364285714286
10	0.243528571428571	0.245557142857143	0.255107142857143	0.266250000000000	0.272492857142857	0.255778571428571	0.278542857142857	0.279042857142857	0.276421428571429	0.266835714285714	0.255285714285714	0.246692857142857
15	0.246021428571429	0.250628571428571	0.261592857142857	0.274371428571429	0.280271428571429	0.260942857142857	0.281235714285714	0.279471428571429	0.275250000000000	0.265814285714286	0.254742857142857	0.247350000000000
20	0.253600000000000	0.261257142857143	0.273285714285714	0.286450000000000	0.292050000000000	0.268271428571429	0.286542857142857	0.282778571428571	0.276607142857143	0.267650000000000	0.257792857142857	0.252357142857143
25	0.268050000000000	0.277407142857143	0.290171428571429	0.302371428571429	0.305842857142857	0.275900000000000	0.292628571428571	0.288021428571429	0.280521428571429	0.271650000000000	0.262914285714286	0.262135714285714
30	0.291035714285714	0.303107142857143	0.314657142857143	0.321978571428571	0.321085714285714	0.285050000000000	0.298707142857143	0.293371428571429	0.285214285714286	0.276092857142857	0.271007142857143	0.278285714285714
35	0.321378571428572	0.336542857142857	0.344678571428571	0.345592857142857	0.339928571428571	0.299135714285714	0.307671428571429	0.299521428571429	0.291050000000000	0.282200000000000	0.284035714285714	0.300085714285714
40	0.348485714285714	0.367242857142857	0.372414285714286	0.368664285714286	0.359450000000000	0.317507142857143	0.321578571428571	0.308250000000000	0.298828571428571	0.291842857142857	0.300092857142857	0.321514285714286
45	0.367521428571429	0.390307142857143	0.395000000000000	0.387035714285714	0.374778571428571	0.331835714285714	0.334642857142857	0.317185714285714	0.306564285714286	0.301942857142857	0.313607142857143	0.337350000000000
50	0.379435714285714	0.403242857142857	0.410607142857143	0.401271428571429	0.385264285714286	0.338885714285714	0.343014285714286	0.323478571428571	0.311864285714286	0.309728571428571	0.322050000000000	0.346857142857143
55	0.382885714285714	0.409178571428571	0.421485714285714	0.412707142857143	0.392735714285714	0.338907142857143	0.343057142857143	0.324414285714286	0.312850000000000	0.312600000000000	0.325092857142857	0.325821428571429
60	0.000000000000000	0.410550000000000	0.431157142857143	0.423400000000000	0.397335714285714	0.334257142857143	0.335978571428571	0.319450000000000	0.308971428571429	0.310414285714286	0.299392857142857	0.000000000000000
65	0.000000000000000	0.322535714285714	0.438592857142857	0.434878571428571	0.402350000000000	0.331657142857143	0.328114285714286	0.311742857142857	0.302557142857143	0.304407142857143	0.000000000000000	0.000000000000000
